Object Kind	Layer	Net	X1	Y1	X2	Y2	Keepout	Locked	Rotation	Solder Mask Expansion	Solder Mask Expansion Mode	Paste Mask Expansion	Paste Mask Expansion Mode
Fill	TopOverlay	No Net	0.000	0.000	6.900	0.300	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	0.300	0.300	0.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.400	0.300	2.700	0.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.000	0.300	3.300	0.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.200	0.300	4.500	0.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.800	0.300	5.100	0.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	5.700	0.300	6.900	0.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	0.600	0.300	0.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.600	0.600	2.100	0.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.400	0.600	4.200	0.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	5.100	0.600	5.400	0.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	5.700	0.600	6.300	0.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.600	0.600	6.900	0.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	0.900	0.300	1.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.600	0.900	0.900	1.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.800	0.900	2.100	1.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.400	0.900	2.700	1.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.000	0.900	3.300	1.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.600	0.900	3.900	1.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.200	0.900	5.100	1.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.000	0.900	6.900	1.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	1.200	0.300	1.500	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.600	1.200	0.900	1.500	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.800	1.200	2.100	1.500	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.400	1.200	2.700	1.500	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.000	1.200	3.600	1.500	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	5.100	1.200	6.900	1.500	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	1.500	0.300	1.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.600	1.500	0.900	1.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.800	1.500	2.100	1.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.400	1.500	2.700	1.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.000	1.500	3.600	1.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.900	1.500	4.200	1.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.500	1.500	4.800	1.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	5.700	1.500	6.300	1.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.600	1.500	6.900	1.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	1.800	0.300	2.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.600	1.800	2.100	2.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.400	1.800	2.700	2.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.600	1.800	3.900	2.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.500	1.800	5.100	2.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	5.700	1.800	6.300	2.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.600	1.800	6.900	2.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	2.100	0.300	2.400	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.400	2.100	3.000	2.400	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.300	2.100	3.600	2.400	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.900	2.100	4.800	2.400	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.000	2.100	6.900	2.400	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	2.400	2.700	2.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.600	2.400	3.900	2.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.500	2.400	4.800	2.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	5.100	2.400	5.400	2.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.600	2.400	6.900	2.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	2.700	0.300	3.000	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.600	2.700	0.900	3.000	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.500	2.700	1.800	3.000	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.700	2.700	3.000	3.000	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.300	2.700	3.900	3.000	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.500	2.700	5.100	3.000	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	5.400	2.700	6.900	3.000	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	3.000	0.300	3.300	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.600	3.000	1.800	3.300	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.100	3.000	2.400	3.300	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.700	3.000	3.000	3.300	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.900	3.000	4.800	3.300	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.300	3.000	6.900	3.300	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	3.300	0.300	3.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.900	3.300	1.200	3.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.500	3.300	2.100	3.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.700	3.300	3.300	3.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.900	3.300	4.200	3.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.800	3.300	5.100	3.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	5.400	3.300	6.300	3.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.600	3.300	6.900	3.600	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	3.600	0.900	3.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.200	3.600	2.400	3.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.700	3.600	3.000	3.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.600	3.600	3.900	3.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	5.400	3.600	6.300	3.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.600	3.600	6.900	3.900	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	3.900	0.300	4.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.600	3.900	0.900	4.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.400	3.900	3.000	4.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.600	3.900	4.500	4.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.000	3.900	6.900	4.200	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	4.200	2.700	4.500	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.300	4.200	3.900	4.500	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.200	4.200	6.900	4.500	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	4.500	0.300	4.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.400	4.500	2.700	4.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.000	4.500	3.300	4.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.600	4.500	3.900	4.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.200	4.500	4.500	4.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.600	4.500	6.900	4.800	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	4.800	0.300	5.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.600	4.800	2.100	5.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.400	4.800	2.700	5.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.300	4.800	3.900	5.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.200	4.800	4.500	5.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	4.800	4.800	6.300	5.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	6.600	4.800	6.900	5.100	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	5.100	0.300	5.400	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.600	5.100	0.900	5.400	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.800	5.100	2.100	5.400	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.400	5.100	2.700	5.400	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.000	5.100	3.300	5.400	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.600	5.100	3.900	5.400	false	false	0.0	0	none	0	none
