Designator,Mid X,Mid Y,Layer,Rotation
C1,15.08, 9.97,T,180
C2, 8.95, 5.68,T,270
C3, 7.93,22.03,T, 90
C4,12.92, 9.97,T,  0
C6,19.35, 2.13,T,  0
D1, 8.08,12.50,T,270
D2,19.46, 5.24,T, 90
FB1,19.35, 3.20,T,  0
IC1,14.00,12.50,T,  0
IC2,13.49, 4.93,T,270
J1, 4.00,22.50,T,  0
J2, 4.00, 2.50,T,  0
J3,24.00, 2.50,T,  0
J4,24.00,22.50,T, 90
J6,18.51,23.43,T,  0
JD1, 3.90,12.50,T, 90
JD2,24.10,12.50,T,270
R1,12.92,15.11,T,180
R2,15.08,15.11,T,  0
R3,20.27, 7.26,T,  0
R5, 7.54,14.94,T,270
R6, 8.03,10.66,T,  0
R8, 8.61,14.94,T,270
U2,10.06,22.02,T, 90
