Object Kind	Layer	Net	X1	Y1	X2	Y2	Keepout	Locked	Rotation	Solder Mask Expansion	Solder Mask Expansion Mode	Paste Mask Expansion	Paste Mask Expansion Mode
Fill	BottomOverlay	No Net	0.000	0.000	5.400	0.200	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	0.200	0.200	0.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.400	0.200	0.800	0.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.200	0.200	1.400	0.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.600	0.200	1.800	0.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.600	0.200	2.800	0.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.000	0.200	3.200	0.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.600	0.200	3.800	0.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.200	0.200	5.400	0.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	0.400	0.200	0.600	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.600	0.400	1.000	0.600	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.200	0.400	1.400	0.600	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.600	0.400	1.800	0.600	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.400	0.400	2.600	0.600	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.800	0.400	3.200	0.600	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.400	0.400	3.800	0.600	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.000	0.400	5.000	0.600	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.200	0.400	5.400	0.600	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	0.600	0.400	0.800	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.800	0.600	1.800	0.800	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.200	0.600	3.000	0.800	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.200	0.600	3.800	0.800	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.000	0.600	4.200	0.800	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.800	0.600	5.000	0.800	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.200	0.600	5.400	0.800	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	0.800	0.200	1.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.400	0.800	1.800	1.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.600	0.800	3.000	1.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.200	0.800	3.800	1.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.000	0.800	4.200	1.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.800	0.800	5.000	1.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.200	0.800	5.400	1.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	1.000	0.800	1.200	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.200	1.000	2.400	1.200	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.800	1.000	3.200	1.200	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.600	1.000	3.800	1.200	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.000	1.000	4.200	1.200	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.800	1.000	5.000	1.200	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.200	1.000	5.400	1.200	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	1.200	0.200	1.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.600	1.200	1.000	1.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.200	1.200	1.800	1.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.200	1.200	2.400	1.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.600	1.200	2.800	1.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.000	1.200	3.800	1.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.000	1.200	5.000	1.400	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.200	1.200	5.400	1.400	false	false	0.0	0	none	0	none
