Designators, Quantity,Comment, Footprint, Datasheet,LCSC Part #, Part
C1 ,1,33pF,Capacitor_SMD:C_0402_1005Metric,~,C1562,
C2 ,1,"1uF, 10V",Capacitor_SMD:C_0402_1005Metric,~,C52923,
C3 C5 ,2,1uF,Capacitor_SMD:C_0402_1005Metric,~,C52923,
D1 ,1,BAT54S,Package_TO_SOT_SMD:SOT-23,~,C47546,
D4 ,1,0606 ARGB,LED_SMD:LED_LiteOn_LTST-C19HE1WT,~,C779813,
D2 D3 D5 D6 ,4,RCLAMP0521P-N,Diode_SMD:D_0402_1005Metric,~,C316043,
FB1 ,1,1kR @ 100MHz,Inductor_SMD:L_0402_1005Metric,~,C21516,
J1 J3 ,2,Conn_Jacdac_CardEdge,Connector_Jacdac:JD-PEC-01_Prerouted,https://arcade.makecode.com/hardware/dbg,,
J2 ,1,Conn_HackConnect,Connector_Jacdac:HackConnect_P1.27mm,https://arcade.makecode.com/hardware/dbg,,
MH1 ,1,MountingHole_Pad,Connector_Jacdac:JD_MountingHole_Pin1,~,,
MH2 ,1,MountingHole_Pad,Connector_Jacdac:JD_MountingHole_Ground,~,,
MH3 ,1,MountingHole_Pad,Connector_Jacdac:JD_MountingHole_Data,~,,
MH4 ,1,MountingHole_Pad,Connector_Jacdac:JD_MountingHole_Power,~,,
R1 ,1,"220R, 1%",Resistor_SMD:R_0402_1005Metric,~,C25091,
R4 ,1,150R,Resistor_SMD:R_0402_1005Metric,~,C25082,
R5 R6 ,2,33R,Resistor_SMD:R_0402_1005Metric,~,C25105,
RV1 ,1,10kR,Potentiometer_THT:Potentiometer_Bourns_PTA3043_Single_Slide,~,,PTA3043-2015CPB103
U1 ,1,XC6206P332MR,Package_TO_SOT_SMD:SOT-23,https://www.torexsemi.com/file/xc6206/XC6206.pdf,C5446,
U2 ,1,STM32G031FxPx,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00088500.pdf,C529334,
