Object Kind	Layer	Net	X1	Y1	X2	Y2	Keepout	Locked	Rotation	Solder Mask Expansion	Solder Mask Expansion Mode	Paste Mask Expansion	Paste Mask Expansion Mode
Fill	TopOverlay	No Net	0.000	0.000	3.910	0.170	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	0.170	0.170	0.340	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.360	0.170	1.530	0.340	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.700	0.170	2.040	0.340	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.550	0.170	2.720	0.340	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.230	0.170	3.400	0.340	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.740	0.170	3.910	0.340	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	0.340	0.170	0.510	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.340	0.340	1.190	0.510	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.360	0.340	2.040	0.510	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.060	0.340	3.230	0.510	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.400	0.340	3.570	0.510	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.740	0.340	3.910	0.510	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	0.510	0.170	0.680	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.340	0.510	0.510	0.680	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.020	0.510	1.190	0.680	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.360	0.510	1.870	0.680	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.210	0.510	3.910	0.680	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	0.680	0.170	0.850	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.340	0.680	0.510	0.850	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.020	0.680	1.190	0.850	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.360	0.680	1.700	0.850	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.380	0.680	3.400	0.850	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.740	0.680	3.910	0.850	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	0.850	0.170	1.020	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.340	0.850	0.510	1.020	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.020	0.850	1.190	1.020	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.360	0.850	1.530	1.020	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.700	0.850	1.870	1.020	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.210	0.850	2.550	1.020	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.720	0.850	2.890	1.020	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.230	0.850	3.400	1.020	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.570	0.850	3.910	1.020	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	1.020	0.170	1.190	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.340	1.020	1.190	1.190	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.360	1.020	1.870	1.190	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.210	1.020	2.380	1.190	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.550	1.020	3.230	1.190	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.400	1.020	3.570	1.190	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.740	1.020	3.910	1.190	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	1.190	0.170	1.360	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.360	1.190	1.530	1.360	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.870	1.190	2.210	1.360	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.380	1.190	2.720	1.360	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.890	1.190	3.910	1.360	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	1.360	1.530	1.530	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.040	1.360	2.210	1.530	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.380	1.360	2.550	1.530	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.720	1.360	3.060	1.530	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.400	1.360	3.910	1.530	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	1.530	0.340	1.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.850	1.530	1.020	1.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.360	1.530	1.530	1.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.870	1.530	2.210	1.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.380	1.530	2.550	1.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.060	1.530	3.400	1.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.740	1.530	3.910	1.700	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	1.700	0.340	1.870	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.510	1.700	0.680	1.870	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.850	1.700	1.530	1.870	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	1.700	1.700	1.870	1.870	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.040	1.700	2.210	1.870	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.380	1.700	2.720	1.870	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	2.890	1.700	3.400	1.870	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	3.570	1.700	3.910	1.870	false	false	0.0	0	none	0	none
Fill	TopOverlay	No Net	0.000	1.870	0.170	2.040	false	false	0.0	0	none	0	none
