Designator,Val,Package,Mid X,Mid Y,KicadRot,Layer,RotCorrection,Rotation
C1,33pF,C_0402_1005Metric,100,-119,90,bottom,,90
C2,"1uF, 10V",C_0402_1005Metric,97,-110,90,bottom,,90
C3,1uF,C_0402_1005Metric,103,-110,90,bottom,,90
C5,1uF,C_0402_1005Metric,100,-99,180,bottom,,180
D1,BAT54S,SOT-23,100,-115,0,bottom,180,180
D2,RCLAMP0521P-N,D_0402_1005Metric,98.5,-124,0,bottom,,0
D3,RCLAMP0521P-N,D_0402_1005Metric,101.5,-124,180,bottom,,180
D5,RCLAMP0521P-N,D_0402_1005Metric,101.5,-72,180,bottom,,180
D6,RCLAMP0521P-N,D_0402_1005Metric,98.5,-72,0,bottom,,0
FB1,1kR @ 100MHz,L_0402_1005Metric,98,-119,270,bottom,,270
R1,"220R, 1%",R_0402_1005Metric,102,-119,270,bottom,,270
R4,150R,R_0402_1005Metric,101,-88,90,bottom,,90
R5,33R,R_0402_1005Metric,99,-88,90,bottom,,90
R6,33R,R_0402_1005Metric,97,-88,90,bottom,,90
U1,XC6206P332MR,SOT-23,100,-110,180,bottom,180,360
U2,STM32G031FxPx,TSSOP-20_4.4x6.5mm_P0.65mm,100,-94,90,bottom,90,180
