Object Kind	Layer	Net	X1	Y1	X2	Y2	Keepout	Locked	Rotation	Solder Mask Expansion	Solder Mask Expansion Mode	Paste Mask Expansion	Paste Mask Expansion Mode
Fill	BottomOverlay	No Net	0.000	0.000	7.290	0.270	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	0.270	0.270	0.540	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.540	0.270	0.810	0.540	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.160	0.270	2.700	0.540	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.240	0.270	3.780	0.540	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.050	0.270	4.320	0.540	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.860	0.270	5.130	0.540	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	7.020	0.270	7.290	0.540	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	0.540	0.270	0.810	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.080	0.540	1.350	0.810	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.160	0.540	2.700	0.810	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.780	0.540	4.050	0.810	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.320	0.540	5.130	0.810	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.400	0.540	6.750	0.810	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	7.020	0.540	7.290	0.810	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	0.810	0.270	1.080	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.540	0.810	0.810	1.080	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.620	0.810	1.890	1.080	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.700	0.810	2.970	1.080	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.240	0.810	3.510	1.080	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.860	0.810	5.130	1.080	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.400	0.810	5.670	1.080	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.480	0.810	6.750	1.080	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	7.020	0.810	7.290	1.080	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	1.080	0.540	1.350	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.810	1.080	1.080	1.350	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.620	1.080	1.890	1.350	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.700	1.080	3.240	1.350	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.590	1.080	5.130	1.350	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.400	1.080	5.670	1.350	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.480	1.080	6.750	1.350	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	7.020	1.080	7.290	1.350	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	1.350	0.810	1.620	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.970	1.350	3.510	1.620	false	false	0.0	0	none	0	none
